id,new_date,hour,load_kW,demand_kWh,supply_kWh,net_kWh
56612,2022-11-06,11,33.16,0,13.88,13.88
56621,2022-11-06,12,35.58,0,13.65,13.65
56630,2022-11-06,13,32.04,0,13.84,13.84
56639,2022-11-06,14,28.02,0,11.76,11.76
56648,2022-11-06,15,17.82,0,8.35,8.35
56658,2022-11-06,16,8.82,0.34,2.15,1.81
56666,2022-11-06,17,9.82,4.78,0,-4.78
56675,2022-11-06,18,7.21,7.5,0,-7.5
56684,2022-11-06,19,7.76,8.1,0,-8.1
56693,2022-11-06,20,6.16,7.06,0,-7.06
56702,2022-11-06,21,6.26,6.53,0,-6.53
56711,2022-11-06,22,6.76,6.44,0,-6.44
56720,2022-11-06,23,7.06,6.47,0,-6.47
56729,2022-11-07,1,6.78,6.69,0,-6.69
56738,2022-11-07,2,6.37,6.31,0,-6.31
56747,2022-11-07,3,6.65,6.19,0,-6.19
56756,2022-11-07,4,6.2,6.06,0,-6.06
56765,2022-11-07,5,6.1,6.03,0,-6.03
56774,2022-11-07,6,4.02,5.58,0,-5.58
56783,2022-11-07,7,5.34,4.95,0,-4.95
56792,2022-11-07,8,10.55,1.78,0.26,-1.52
56801,2022-11-07,9,29.06,9.8,0,-9.8
56810,2022-11-07,10,32.66,13.19,0,-13.19
56819,2022-11-07,11,36.38,13.17,0,-13.17
56828,2022-11-07,12,43.41,19.22,0,-19.22
56837,2022-11-07,13,50.76,26.39,0,-26.39
56846,2022-11-07,14,39.62,28.01,0,-28.01
56855,2022-11-07,15,43.42,21.83,0,-21.83
56873,2022-10-04,15,43,25.31,0,-25.31
56882,2022-11-07,16,40.01,27.58,0,-27.58
56891,2022-10-03,3,6.77,7.2,0,-7.2
56900,2022-10-03,10,26.44,21.56,0,-21.56
56909,2022-10-03,12,24.58,16.18,0,-16.18
56918,2022-10-03,13,42.39,16.33,0.02,-16.31
56927,2022-10-03,16,32.37,22.64,0,-22.64
56936,2022-10-03,17,42.22,33.97,0,-33.97
56954,2022-10-03,18,27.49,28.71,0,-28.71
56963,2022-10-04,4,6.82,7.04,0,-7.04
56972,2022-10-04,8,7.81,5.6,0,-5.6
56981,2022-10-04,11,39.44,21.1,0,-21.1
56990,2022-10-04,12,39.91,17.34,0,-17.34
56999,2022-11-07,17,25.06,28.83,0,-28.83
57008,2022-10-04,13,41.06,18.53,0,-18.53
57017,2022-10-04,17,37.79,34.25,0,-34.25
57026,2022-11-07,18,8.45,17.34,0,-17.34
57035,2022-11-07,19,7.01,8.03,0,-8.03
57044,2022-11-07,20,6.9,7.04,0,-7.04
57054,2022-11-07,21,6.79,7.03,0,-7.03
57062,2022-11-07,22,7.28,7.04,0,-7.04
57071,2022-11-07,23,6.67,6.83,0,-6.83
57080,2022-11-08,1,6.36,6.3,0,-6.3
57089,2022-11-08,2,6.38,6.28,0,-6.28
57098,2022-11-08,3,6.42,6.17,0,-6.17
57107,2022-11-08,4,6.69,6.11,0,-6.11
57125,2022-10-04,2,6.86,7.24,0,-7.24
57134,2022-10-04,18,5.65,27.68,0,-27.68
57143,2022-10-04,1,6.77,8.2,0,-8.2
57152,2022-10-04,21,9.63,8.73,0,-8.73
57161,2022-10-04,22,9.79,8.69,0,-8.69
57170,2022-10-04,23,8.61,8.67,0,-8.67
57179,2022-10-04,14,42.65,19.64,0,-19.64
57188,2022-10-04,9,33.97,10.12,0,-10.12
57197,2022-10-04,10,45.61,16.61,0,-16.61
57206,2022-10-05,9,26.11,13.23,0.15,-13.08
57215,2022-10-05,10,31.93,17.83,0.04,-17.79
57224,2022-10-05,12,35.45,9.68,0.13,-9.55
57233,2022-10-05,13,37.39,15.23,0,-15.23
57242,2022-11-08,5,6.74,6.02,0,-6.02
57261,2022-10-05,14,38.73,18.61,0,-18.61
57269,2022-10-05,15,30.66,35.08,0,-35.08
57278,2022-10-05,17,20.67,27.37,0,-27.37
57287,2022-10-05,19,10.84,10.02,0,-10.02
57296,2022-10-05,22,7.91,7.9,0,-7.9
57305,2022-10-05,23,6.75,7.21,0,-7.21
57314,2022-10-06,2,6.79,6.61,0,-6.61
57323,2022-10-06,3,6.82,6.59,0,-6.59
57332,2022-10-06,9,34.58,9.76,0.76,-9
57341,2022-10-06,10,33.91,20.88,0,-20.88
57350,2022-10-06,11,56.03,20.72,0,-20.72
57359,2022-10-06,12,45.61,24.57,0,-24.57
57368,2022-10-06,13,40.29,36.22,0,-36.22
57377,2022-10-06,14,35.65,32.55,0,-32.55
57386,2022-10-06,15,40.53,33.36,0,-33.36
57395,2022-10-06,16,42.33,33.73,0,-33.73
57404,2022-10-06,17,33.04,35.63,0,-35.63
57413,2022-10-06,18,0.83,17.06,0,-17.06
57422,2022-10-06,19,10,8.89,0,-8.89
57431,2022-10-06,23,6.96,7.21,0,-7.21
57440,2022-11-08,6,4.23,5.76,0,-5.76
57449,2022-10-07,9,36.52,15.46,0,-15.46
57459,2022-10-07,10,51.57,16.72,0,-16.72
57467,2022-10-07,13,57.94,38.27,0,-38.27
57476,2022-10-07,14,51.35,39.42,0,-39.42
57485,2022-10-07,15,39.29,32.89,0,-32.89
57494,2022-10-07,16,43.32,28.58,0,-28.58
57503,2022-10-07,17,20.44,34.67,0,-34.67
57513,2022-10-07,18,12.48,13.69,0,-13.69
57521,2022-10-07,21,7.55,7.56,0,-7.56
57530,2022-10-07,22,7.72,7.97,0,-7.97
57541,2022-10-07,23,6.82,7.35,0,-7.35
57548,2022-10-08,1,6.48,6.59,0,-6.59
57557,2022-10-08,7,5.08,3.75,0,-3.75
57566,2022-10-08,8,7.42,1.25,0.55,-0.7
57575,2022-10-08,9,21.07,0.01,7.76,7.75
57584,2022-10-08,10,43.8,1.27,8.33,7.06
57593,2022-10-08,11,30.62,1.76,6.1,4.34
57602,2022-10-08,12,35,0.52,10.43,9.91
57611,2022-10-08,13,33.63,0.06,11.9,11.84
57620,2022-10-08,14,6.28,0.38,11.52,11.14
57629,2022-10-08,15,20.38,0.25,4.56,4.31
57638,2022-10-08,17,5.77,6.16,0.3,-5.86
57647,2022-10-08,18,0.48,7.44,0,-7.44
57656,2022-10-08,19,9.09,7.75,0,-7.75
57665,2022-10-08,20,7.06,7.5,0,-7.5
57674,2022-10-08,22,6.62,6.76,0,-6.76
57683,2022-10-08,23,6.41,6.74,0,-6.74
57692,2022-10-09,6,5.27,5.76,0,-5.76
57701,2022-10-09,8,6.17,1.41,0.22,-1.19
57710,2022-10-09,9,25.11,0.01,5.66,5.65
57719,2022-10-09,10,25.39,0,12.23,12.23
57728,2022-10-09,11,28.66,0,11.19,11.19
57737,2022-10-09,13,22.28,0.03,9.37,9.34
57746,2022-10-09,14,9.77,0.1,6.49,6.39
57755,2022-10-09,16,10.13,1.75,0.3,-1.45
57764,2022-10-09,17,7.42,5.09,0,-5.09
57773,2022-10-09,18,10.41,9.3,0,-9.3
57782,2022-10-09,19,8.51,8.98,0,-8.98
57791,2022-10-09,21,6.99,6.54,0,-6.54
57800,2022-10-09,22,6.9,6.46,0,-6.46
57809,2022-10-09,23,6.72,6.72,0,-6.72
57818,2022-11-08,7,6.32,4.83,0,-4.83
57827,2022-10-10,1,8.28,6.97,0,-6.97
57837,2022-10-10,2,6.86,7.53,0,-7.53
57845,2022-10-10,3,6.87,6.77,0,-6.77
57854,2022-10-10,4,6.77,6.39,0,-6.39
57863,2022-10-10,5,6.53,6.4,0,-6.4
57872,2022-10-10,6,7.46,5.75,0,-5.75
57881,2022-10-10,7,8.15,5.22,0,-5.22
57890,2022-10-10,8,6.59,4.22,0,-4.22
57899,2022-10-10,9,35.72,10.74,0.03,-10.71
57908,2022-10-10,10,38.49,22.2,0,-22.2
57917,2022-10-10,11,58.18,31.06,0,-31.06
57926,2022-10-10,12,59.05,34.75,0,-34.75
57936,2022-10-10,13,58.67,34.92,0,-34.92
57944,2022-10-10,14,30.16,33.14,0,-33.14
57953,2022-10-10,15,44.47,33.66,0,-33.66
57962,2022-10-10,16,50.42,38.59,0,-38.59
57971,2022-10-10,17,25.22,42.16,0,-42.16
57980,2022-10-10,18,12.13,21.3,0,-21.3
57989,2022-10-10,19,7.83,13.54,0,-13.54
57998,2022-10-10,20,7.11,8.6,0,-8.6
58008,2022-10-10,21,6.71,6.67,0,-6.67
58016,2022-10-10,22,7.53,7.06,0,-7.06
58025,2022-10-10,23,7.3,7.25,0,-7.25
58034,2022-11-08,8,13.66,0.85,1.11,0.26
