,datetime,nat_demand,date,newdate,newtime,y,m,d
102,2015-01-07 07:00:00,1010.5448,2015-01-07 07:00:00,2015-01-07,07:00:00,2015,1,7
103,2015-01-07 08:00:00,1164.6559,2015-01-07 08:00:00,2015-01-07,08:00:00,2015,1,7
104,2015-01-07 09:00:00,1293.9383,2015-01-07 09:00:00,2015-01-07,09:00:00,2015,1,7
105,2015-01-07 10:00:00,1366.6676,2015-01-07 10:00:00,2015-01-07,10:00:00,2015,1,7
106,2015-01-07 11:00:00,1390.9173,2015-01-07 11:00:00,2015-01-07,11:00:00,2015,1,7
107,2015-01-07 12:00:00,1383.5812,2015-01-07 12:00:00,2015-01-07,12:00:00,2015,1,7
108,2015-01-07 13:00:00,1407.7425,2015-01-07 13:00:00,2015-01-07,13:00:00,2015,1,7
109,2015-01-07 14:00:00,1408.6819,2015-01-07 14:00:00,2015-01-07,14:00:00,2015,1,7
110,2015-01-07 15:00:00,1362.4042,2015-01-07 15:00:00,2015-01-07,15:00:00,2015,1,7
111,2015-01-07 16:00:00,1286.8121,2015-01-07 16:00:00,2015-01-07,16:00:00,2015,1,7
112,2015-01-07 17:00:00,1179.9351,2015-01-07 17:00:00,2015-01-07,17:00:00,2015,1,7
113,2015-01-07 18:00:00,1182.7732,2015-01-07 18:00:00,2015-01-07,18:00:00,2015,1,7
114,2015-01-07 19:00:00,1206.2524,2015-01-07 19:00:00,2015-01-07,19:00:00,2015,1,7
115,2015-01-07 20:00:00,1143.2591,2015-01-07 20:00:00,2015-01-07,20:00:00,2015,1,7
116,2015-01-07 21:00:00,1138.631,2015-01-07 21:00:00,2015-01-07,21:00:00,2015,1,7
117,2015-01-07 22:00:00,1095.4537,2015-01-07 22:00:00,2015-01-07,22:00:00,2015,1,7
118,2015-01-07 23:00:00,1044.1697,2015-01-07 23:00:00,2015-01-07,23:00:00,2015,1,7
119,2015-01-08 00:00:00,985.8912,2015-01-08 00:00:00,2015-01-08,00:00:00,2015,1,8
120,2015-01-08 01:00:00,962.4068,2015-01-08 01:00:00,2015-01-08,01:00:00,2015,1,8
121,2015-01-08 02:00:00,928.1036,2015-01-08 02:00:00,2015-01-08,02:00:00,2015,1,8
122,2015-01-08 03:00:00,917.9997,2015-01-08 03:00:00,2015-01-08,03:00:00,2015,1,8
123,2015-01-08 04:00:00,910.9537,2015-01-08 04:00:00,2015-01-08,04:00:00,2015,1,8
124,2015-01-08 05:00:00,928.724,2015-01-08 05:00:00,2015-01-08,05:00:00,2015,1,8
125,2015-01-08 06:00:00,931.4314,2015-01-08 06:00:00,2015-01-08,06:00:00,2015,1,8
126,2015-01-08 07:00:00,1033.7357,2015-01-08 07:00:00,2015-01-08,07:00:00,2015,1,8
127,2015-01-08 08:00:00,1186.5044,2015-01-08 08:00:00,2015-01-08,08:00:00,2015,1,8
128,2015-01-08 09:00:00,1275.112,2015-01-08 09:00:00,2015-01-08,09:00:00,2015,1,8
129,2015-01-08 10:00:00,1348.951,2015-01-08 10:00:00,2015-01-08,10:00:00,2015,1,8
130,2015-01-08 11:00:00,1365.6284,2015-01-08 11:00:00,2015-01-08,11:00:00,2015,1,8
131,2015-01-08 12:00:00,1343.4717,2015-01-08 12:00:00,2015-01-08,12:00:00,2015,1,8
132,2015-01-08 13:00:00,1371.5959,2015-01-08 13:00:00,2015-01-08,13:00:00,2015,1,8
133,2015-01-08 14:00:00,1383.9909,2015-01-08 14:00:00,2015-01-08,14:00:00,2015,1,8
134,2015-01-08 15:00:00,1333.5524,2015-01-08 15:00:00,2015-01-08,15:00:00,2015,1,8
135,2015-01-08 16:00:00,1255.568,2015-01-08 16:00:00,2015-01-08,16:00:00,2015,1,8
136,2015-01-08 17:00:00,1142.0101,2015-01-08 17:00:00,2015-01-08,17:00:00,2015,1,8
137,2015-01-08 18:00:00,1188.5847,2015-01-08 18:00:00,2015-01-08,18:00:00,2015,1,8
138,2015-01-08 19:00:00,1172.1282,2015-01-08 19:00:00,2015-01-08,19:00:00,2015,1,8
139,2015-01-08 20:00:00,1136.7167,2015-01-08 20:00:00,2015-01-08,20:00:00,2015,1,8
140,2015-01-08 21:00:00,1111.7702,2015-01-08 21:00:00,2015-01-08,21:00:00,2015,1,8
141,2015-01-08 22:00:00,1069.2922,2015-01-08 22:00:00,2015-01-08,22:00:00,2015,1,8
142,2015-01-08 23:00:00,1017.9603,2015-01-08 23:00:00,2015-01-08,23:00:00,2015,1,8
143,2015-01-09 00:00:00,977.2739,2015-01-09 00:00:00,2015-01-09,00:00:00,2015,1,9
144,2015-01-09 01:00:00,943.6081,2015-01-09 01:00:00,2015-01-09,01:00:00,2015,1,9
145,2015-01-09 02:00:00,917.064,2015-01-09 02:00:00,2015-01-09,02:00:00,2015,1,9
146,2015-01-09 03:00:00,895.9092,2015-01-09 03:00:00,2015-01-09,03:00:00,2015,1,9
147,2015-01-09 04:00:00,885.272,2015-01-09 04:00:00,2015-01-09,04:00:00,2015,1,9
148,2015-01-09 05:00:00,884.8111,2015-01-09 05:00:00,2015-01-09,05:00:00,2015,1,9
149,2015-01-09 06:00:00,866.5622,2015-01-09 06:00:00,2015-01-09,06:00:00,2015,1,9
150,2015-01-09 07:00:00,883.0248,2015-01-09 07:00:00,2015-01-09,07:00:00,2015,1,9
151,2015-01-09 08:00:00,953.57,2015-01-09 08:00:00,2015-01-09,08:00:00,2015,1,9
152,2015-01-09 09:00:00,1006.9689,2015-01-09 09:00:00,2015-01-09,09:00:00,2015,1,9
153,2015-01-09 10:00:00,1058.0176,2015-01-09 10:00:00,2015-01-09,10:00:00,2015,1,9
154,2015-01-09 11:00:00,1088.0395,2015-01-09 11:00:00,2015-01-09,11:00:00,2015,1,9
155,2015-01-09 12:00:00,1080.8465,2015-01-09 12:00:00,2015-01-09,12:00:00,2015,1,9
156,2015-01-09 13:00:00,1073.435,2015-01-09 13:00:00,2015-01-09,13:00:00,2015,1,9
157,2015-01-09 14:00:00,1075.0293,2015-01-09 14:00:00,2015-01-09,14:00:00,2015,1,9
158,2015-01-09 15:00:00,1059.6223,2015-01-09 15:00:00,2015-01-09,15:00:00,2015,1,9
159,2015-01-09 16:00:00,1026.1627,2015-01-09 16:00:00,2015-01-09,16:00:00,2015,1,9
160,2015-01-09 17:00:00,997.3978,2015-01-09 17:00:00,2015-01-09,17:00:00,2015,1,9
161,2015-01-09 18:00:00,1054.8104,2015-01-09 18:00:00,2015-01-09,18:00:00,2015,1,9
162,2015-01-09 19:00:00,1105.863,2015-01-09 19:00:00,2015-01-09,19:00:00,2015,1,9
163,2015-01-09 20:00:00,1085.7856,2015-01-09 20:00:00,2015-01-09,20:00:00,2015,1,9
164,2015-01-09 21:00:00,1061.3146,2015-01-09 21:00:00,2015-01-09,21:00:00,2015,1,9
165,2015-01-09 22:00:00,1033.8639,2015-01-09 22:00:00,2015-01-09,22:00:00,2015,1,9
166,2015-01-09 23:00:00,989.8507,2015-01-09 23:00:00,2015-01-09,23:00:00,2015,1,9
167,2015-01-10 00:00:00,949.5031,2015-01-10 00:00:00,2015-01-10,00:00:00,2015,1,10
168,2015-01-10 01:00:00,906.958,2015-01-10 01:00:00,2015-01-10,01:00:00,2015,1,10
169,2015-01-10 02:00:00,863.5135,2015-01-10 02:00:00,2015-01-10,02:00:00,2015,1,10
170,2015-01-10 03:00:00,848.4447,2015-01-10 03:00:00,2015-01-10,03:00:00,2015,1,10
171,2015-01-10 04:00:00,839.8821,2015-01-10 04:00:00,2015-01-10,04:00:00,2015,1,10
172,2015-01-10 05:00:00,847.1073,2015-01-10 05:00:00,2015-01-10,05:00:00,2015,1,10
173,2015-01-10 06:00:00,848.4718,2015-01-10 06:00:00,2015-01-10,06:00:00,2015,1,10
174,2015-01-10 07:00:00,897.8229,2015-01-10 07:00:00,2015-01-10,07:00:00,2015,1,10
175,2015-01-10 08:00:00,1021.672,2015-01-10 08:00:00,2015-01-10,08:00:00,2015,1,10
176,2015-01-10 09:00:00,1108.9439,2015-01-10 09:00:00,2015-01-10,09:00:00,2015,1,10
177,2015-01-10 10:00:00,1165.4756,2015-01-10 10:00:00,2015-01-10,10:00:00,2015,1,10
178,2015-01-10 11:00:00,1179.063,2015-01-10 11:00:00,2015-01-10,11:00:00,2015,1,10
179,2015-01-10 12:00:00,1173.0899,2015-01-10 12:00:00,2015-01-10,12:00:00,2015,1,10
180,2015-01-10 13:00:00,1161.4116,2015-01-10 13:00:00,2015-01-10,13:00:00,2015,1,10
181,2015-01-10 14:00:00,1133.3133,2015-01-10 14:00:00,2015-01-10,14:00:00,2015,1,10
182,2015-01-10 15:00:00,1100.6097,2015-01-10 15:00:00,2015-01-10,15:00:00,2015,1,10
183,2015-01-10 16:00:00,1082.6875,2015-01-10 16:00:00,2015-01-10,16:00:00,2015,1,10
184,2015-01-10 17:00:00,1051.4135,2015-01-10 17:00:00,2015-01-10,17:00:00,2015,1,10
185,2015-01-10 18:00:00,1088.8689,2015-01-10 18:00:00,2015-01-10,18:00:00,2015,1,10
186,2015-01-10 19:00:00,1144.2722,2015-01-10 19:00:00,2015-01-10,19:00:00,2015,1,10
187,2015-01-10 20:00:00,1102.2466,2015-01-10 20:00:00,2015-01-10,20:00:00,2015,1,10
188,2015-01-10 21:00:00,1064.151,2015-01-10 21:00:00,2015-01-10,21:00:00,2015,1,10
189,2015-01-10 22:00:00,1030.4566,2015-01-10 22:00:00,2015-01-10,22:00:00,2015,1,10
190,2015-01-10 23:00:00,979.5945,2015-01-10 23:00:00,2015-01-10,23:00:00,2015,1,10
191,2015-01-11 00:00:00,956.5766,2015-01-11 00:00:00,2015-01-11,00:00:00,2015,1,11
192,2015-01-11 01:00:00,924.2795,2015-01-11 01:00:00,2015-01-11,01:00:00,2015,1,11
193,2015-01-11 02:00:00,887.4576,2015-01-11 02:00:00,2015-01-11,02:00:00,2015,1,11
194,2015-01-11 03:00:00,858.9606,2015-01-11 03:00:00,2015-01-11,03:00:00,2015,1,11
195,2015-01-11 04:00:00,847.4881,2015-01-11 04:00:00,2015-01-11,04:00:00,2015,1,11
196,2015-01-11 05:00:00,842.7522,2015-01-11 05:00:00,2015-01-11,05:00:00,2015,1,11
197,2015-01-11 06:00:00,807.4211,2015-01-11 06:00:00,2015-01-11,06:00:00,2015,1,11
198,2015-01-11 07:00:00,813.1819,2015-01-11 07:00:00,2015-01-11,07:00:00,2015,1,11
199,2015-01-11 08:00:00,873.801,2015-01-11 08:00:00,2015-01-11,08:00:00,2015,1,11
200,2015-01-11 09:00:00,935.3192,2015-01-11 09:00:00,2015-01-11,09:00:00,2015,1,11
201,2015-01-11 10:00:00,1009.0054,2015-01-11 10:00:00,2015-01-11,10:00:00,2015,1,11
