id,name,new_date,new_datetime,hour,demand_kWh,supply_kWh
198,TESTING,2021-12-08,2021-12-08 13:03:22,13,0.19,0
199,APST,2021-12-08,2021-12-08 13:03:22,13,35.09,0
200,TBat,2021-12-08,2021-12-08 13:03:22,13,0,0
201,SIMINAR,2021-12-08,2021-12-08 14:03:22,14,1.81,0
202,NDIR-SERT,2021-12-08,2021-12-08 14:03:22,14,2.83,1.02
203,350kW,2021-12-08,2021-12-08 14:03:22,14,0,110.88
204,120kW,2021-12-08,2021-12-08 14:03:22,14,0,34.2
205,SEPCON LAB,2021-12-08,2021-12-08 14:03:22,14,6.55,0
206,SGTECH,2021-12-08,2021-12-08 14:03:22,14,5.8,0
207,APST,2021-12-08,2021-12-08 14:03:22,14,34.2,0
208,TESTING,2021-12-08,2021-12-08 14:03:22,14,0.18,0
209,TBat,2021-12-08,2021-12-08 14:03:22,14,0,0
210,350kW,2021-12-08,2021-12-08 15:03:23,15,0,81.44
211,NDIR-SERT,2021-12-08,2021-12-08 15:03:23,15,5.38,0.19
212,SIMINAR,2021-12-08,2021-12-08 15:03:23,15,1.8,0
213,SGTECH,2021-12-08,2021-12-08 15:03:23,15,6.02,0
214,SEPCON LAB,2021-12-08,2021-12-08 15:03:23,15,6.55,0
215,TESTING,2021-12-08,2021-12-08 15:03:23,15,0.19,0
216,120kW,2021-12-08,2021-12-08 15:03:23,15,0,28.61
217,APST,2021-12-08,2021-12-08 15:03:23,15,28.61,0
218,TBat,2021-12-08,2021-12-08 15:03:23,15,0,0
219,NDIR-SERT,2021-12-08,2021-12-08 16:03:23,16,9.07,0
220,SIMINAR,2021-12-08,2021-12-08 16:03:23,16,1.88,0
221,350kW,2021-12-08,2021-12-08 16:03:23,16,0,51.89
222,120kW,2021-12-08,2021-12-08 16:03:23,16,0,21.66
223,SGTECH,2021-12-08,2021-12-08 16:03:23,16,5.2,0
224,TESTING,2021-12-08,2021-12-08 16:03:23,16,0.18,0
225,SEPCON LAB,2021-12-08,2021-12-08 16:03:23,16,6.25,0
226,APST,2021-12-08,2021-12-08 16:03:23,16,21.66,0
227,TBat,2021-12-08,2021-12-08 16:03:23,16,0,0
228,NDIR-SERT,2021-12-08,2021-12-08 17:03:23,17,11.39,0
229,SIMINAR,2021-12-08,2021-12-08 17:03:23,17,1.07,0
230,120kW,2021-12-08,2021-12-08 17:03:23,17,0,9.35
231,SGTECH,2021-12-08,2021-12-08 17:03:23,17,3.81,0
232,350kW,2021-12-08,2021-12-08 17:03:23,17,0,17.28
233,TESTING,2021-12-08,2021-12-08 17:03:23,17,0.22,0
234,SEPCON LAB,2021-12-08,2021-12-08 17:03:23,17,4.79,0
235,APST,2021-12-08,2021-12-08 17:03:23,17,9.35,0
236,TBat,2021-12-08,2021-12-08 17:03:23,17,0,0
237,120kW,2021-12-08,2021-12-08 18:03:23,18,0,0.34
238,SIMINAR,2021-12-08,2021-12-08 18:03:23,18,0.03,0
239,NDIR-SERT,2021-12-08,2021-12-08 18:03:23,18,9.08,0
240,350kW,2021-12-08,2021-12-08 18:03:23,18,0,0.44
241,SGTECH,2021-12-08,2021-12-08 18:03:23,18,0.74,0
242,SEPCON LAB,2021-12-08,2021-12-08 18:03:23,18,2.94,0
243,APST,2021-12-08,2021-12-08 18:03:23,18,0.65,0
244,TESTING,2021-12-08,2021-12-08 18:03:23,18,0.5,0
245,TBat,2021-12-08,2021-12-08 18:03:23,18,0,0
246,SIMINAR,2021-12-08,2021-12-08 19:03:23,19,0.02,0
247,350kW,2021-12-08,2021-12-08 19:03:23,19,0,0
248,NDIR-SERT,2021-12-08,2021-12-08 19:03:23,19,8.1,0
249,120kW,2021-12-08,2021-12-08 19:03:23,19,0,0
250,TESTING,2021-12-08,2021-12-08 19:03:23,19,0.49,0
251,TBat,2021-12-08,2021-12-08 19:03:23,19,0,0
252,APST,2021-12-08,2021-12-08 19:03:23,19,0.51,0
253,SGTECH,2021-12-08,2021-12-08 19:03:23,19,1.14,0
254,SEPCON LAB,2021-12-08,2021-12-08 19:03:23,19,1.74,0
255,NDIR-SERT,2021-12-08,2021-12-08 20:03:23,20,6.38,0
256,SIMINAR,2021-12-08,2021-12-08 20:03:23,20,0.02,0
257,350kW,2021-12-08,2021-12-08 20:03:23,20,0,0
258,120kW,2021-12-08,2021-12-08 20:03:23,20,0,0
259,SGTECH,2021-12-08,2021-12-08 20:03:23,20,1.16,0
260,SEPCON LAB,2021-12-08,2021-12-08 20:03:23,20,1.44,0
261,APST,2021-12-08,2021-12-08 20:03:23,20,0.54,0
262,TESTING,2021-12-08,2021-12-08 20:03:23,20,0.51,0
263,TBat,2021-12-08,2021-12-08 20:03:23,20,0,0
264,120kW,2021-12-08,2021-12-08 21:03:23,21,0,0
265,350kW,2021-12-08,2021-12-08 21:03:23,21,0,0
266,SIMINAR,2021-12-08,2021-12-08 21:03:23,21,0.02,0
267,NDIR-SERT,2021-12-08,2021-12-08 21:03:23,21,5.63,0
268,SEPCON LAB,2021-12-08,2021-12-08 21:03:23,21,1.43,0
269,SGTECH,2021-12-08,2021-12-08 21:03:23,21,1.18,0
270,TESTING,2021-12-08,2021-12-08 21:03:23,21,0.5,0
271,APST,2021-12-08,2021-12-08 21:03:23,21,0.6,0
272,TBat,2021-12-08,2021-12-08 21:03:23,21,0,0
273,SIMINAR,2021-12-08,2021-12-08 22:03:23,22,0.02,0
274,120kW,2021-12-08,2021-12-08 22:03:23,22,0,0
275,NDIR-SERT,2021-12-08,2021-12-08 22:03:23,22,5.39,0
276,SGTECH,2021-12-08,2021-12-08 22:03:23,22,0.7,0
277,350kW,2021-12-08,2021-12-08 22:03:23,22,0,0
278,SEPCON LAB,2021-12-08,2021-12-08 22:03:23,22,1.29,0
279,TESTING,2021-12-08,2021-12-08 22:03:23,22,0.5,0
280,APST,2021-12-08,2021-12-08 22:03:23,22,0.53,0
281,TBat,2021-12-08,2021-12-08 22:03:23,22,0,0
282,SIMINAR,2021-12-08,2021-12-08 23:03:23,23,0.02,0
283,120kW,2021-12-08,2021-12-08 23:03:23,23,0,0
