date,new_date,hour,load_kW,demand(kWh),supply(kWh),net_kWh,Wind,Condition,temperature(°F),dew_point(°F),humidity(%),wind_speed(°mph),wind_gust(°mph),pressure(°in),precip(°in),time_idx,group,wind_direction,weather_condition,hour_group,work_time,holiday,weekend,workday
2022-06-01,6/1/2022,16,21.06,19.19,0.0,-19.19,W,Fair,90.0,63.0,40.0,5.0,0.0,29.67,0.0,81,a,7,0.0,1,1,1,1,1
2022-06-01,6/1/2022,17,17.24,21.31,0.0,-21.31,W,Fair,90.0,64.0,43.0,5.0,0.0,29.7,0.0,82,a,7,0.0,1,1,1,1,1
2022-06-01,6/1/2022,19,8.76,13.23,0.0,-13.23,VAR,Fair,81.0,66.0,61.0,2.0,0.0,29.7,0.0,83,a,0,0.0,1,0,1,1,1
2022-06-01,6/1/2022,20,12.62,8.74,0.0,-8.74,CALM,Fair,77.0,68.0,74.0,0.0,0.0,29.73,0.0,84,a,9,0.0,1,0,1,1,1
2022-07-01,7/1/2022,6,4.21,5.49,0.0,-5.49,NW,Fair,70.0,66.0,88.0,3.0,0.0,29.78,0.0,85,a,11,0.0,0,0,1,1,1
2022-07-01,7/1/2022,7,6.65,5.22,0.0,-5.22,VAR,Fair,68.0,66.0,94.0,1.0,0.0,29.78,0.0,86,a,0,0.0,0,0,1,1,1
2022-07-01,7/1/2022,8,6.68,4.37,0.01,-4.36,VAR,Fair,73.0,68.0,83.0,1.0,0.0,29.81,0.0,87,a,0,0.0,0,1,1,1,1
2022-07-01,7/1/2022,9,11.65,1.81,0.79,-1.02,NNW,Fair,77.0,66.0,69.0,2.0,0.0,29.84,0.0,88,a,8,0.0,0,1,1,1,1
2022-07-01,7/1/2022,10,21.4,0.06,4.69,4.63,VAR,Fair,81.0,64.0,58.0,1.0,0.0,29.87,0.0,89,a,0,0.0,0,1,1,1,1
2022-07-01,7/1/2022,11,19.81,0.0,6.95,6.95,VAR,Fair,84.0,63.0,48.0,5.0,0.0,29.84,0.0,90,a,0,0.0,0,1,1,1,1
2022-07-01,7/1/2022,12,21.42,1.24,2.08,0.84,SW,Fair,86.0,61.0,43.0,6.0,0.0,29.81,0.0,91,a,14,0.0,0,1,1,1,1
2022-07-01,7/1/2022,13,24.8,3.79,0.82,-2.97,WSW,Fair,86.0,63.0,45.0,5.0,0.0,29.78,0.0,92,a,6,0.0,1,1,1,1,1
2022-07-01,7/1/2022,14,37.3,13.77,0.32,-13.45,WSW,Fair,90.0,63.0,40.0,5.0,0.0,29.75,0.0,93,a,6,0.0,1,1,1,1,1
2022-07-01,7/1/2022,15,32.22,20.27,0.0,-20.27,WSW,Fair,88.0,64.0,46.0,3.0,0.0,29.73,0.0,94,a,6,0.0,1,1,1,1,1
2022-07-01,7/1/2022,16,18.64,19.66,0.0,-19.66,WSW,Fair,90.0,63.0,40.0,5.0,0.0,29.73,0.0,95,a,6,0.0,1,1,1,1,1
2022-07-01,7/1/2022,17,20.33,17.55,0.0,-17.55,W,Fair,88.0,64.0,46.0,3.0,0.0,29.73,0.0,96,a,7,0.0,1,1,1,1,1
2022-07-01,7/1/2022,18,0.0,16.75,0.0,-16.75,VAR,Fair,84.0,64.0,51.0,2.0,0.0,29.75,0.0,97,a,0,0.0,1,0,1,1,1
2022-07-01,7/1/2022,19,10.86,10.38,0.0,-10.38,NW,Fair,79.0,66.0,65.0,2.0,0.0,29.75,0.0,98,a,11,0.0,1,0,1,1,1
2022-07-01,7/1/2022,20,6.18,9.12,0.0,-9.12,CALM,Fair,77.0,68.0,74.0,0.0,0.0,29.78,0.0,99,a,9,0.0,1,0,1,1,1
2022-08-01,8/1/2022,6,3.55,5.73,0.0,-5.73,E,Fair,68.0,66.0,94.0,1.0,0.0,29.78,0.0,100,a,12,0.0,0,0,1,1,1
2022-08-01,8/1/2022,7,5.47,5.27,0.0,-5.27,CALM,Fair,70.0,64.0,83.0,0.0,0.0,29.81,0.0,101,a,9,0.0,0,0,1,1,1
2022-08-01,8/1/2022,8,7.19,3.8,0.01,-3.79,VAR,Fair,72.0,66.0,83.0,1.0,0.0,29.81,0.0,102,a,0,0.0,0,1,1,1,1
