name,0:00,0:30,1:00,1:30,2:00,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
sub122,23.92918113,23.47276742,23.13245285,22.8006852,22.48080513,22.19693489,22.01532388,22.09038051,22.12361368,22.26487632,22.80007781,23.69542095,24.4022982,24.26841106,22.76996839,22.32691735,22.57885599,23.77125852,24.20099025,24.80482734,25.32592859,25.5888871,25.58645752,25.62816751,25.20709616,24.99351015,25.08349134,25.83568409,26.08631366,26.11150683,25.84559812,25.73691786,25.41147147,25.24137057,24.66300068,24.56668524,25.38762253,27.33145905,29.08153666,29.19,28.87528278,28.42242667,27.94484091,27.34785787,26.52653094,26.04447649,25.23338767,24.55996051
sub123, 13.87 , 13.44 , 13.14 , 12.85 , 12.65 , 12.49 , 12.22 , 12.14 , 12.08 , 12.34 , 12.87 , 14.02 , 14.71 , 14.39 , 12.91 , 11.07 , 9.82 , 9.71 , 9.50 , 9.44 , 9.56 , 9.60 , 10.41 , 10.90 , 10.83 , 10.67 , 11.09 , 11.97 , 11.61 , 11.55 , 11.54 , 11.45 , 11.42 , 11.66 , 12.26 , 13.42 , 14.79 , 16.37 , 17.47 , 17.66 , 17.54 , 17.38 , 16.89 , 16.40 , 15.70 , 15.36 , 14.76 , 14.29 
sub124,9.756478598,9.618378324,9.519626909,9.454250913,9.354729113,9.277351715,9.239513316,9.215468691,9.194778031,9.190384809,9.224349614,9.269179376,9.377025897,9.340746384,9.211689575,8.999444976,8.97993529,9.234694943,9.284343079,9.272344386,9.37017625,9.435366,9.421099837,9.451406417,9.387938095,9.288311151,9.352319927,9.582964351,9.651374476,9.739159682,9.763865653,9.724279413,9.721728341,9.750874942,9.63901311,9.620778875,9.79457097,10.07791019,10.38099529,10.37173645,10.36701256,10.41,10.32034047,10.23994808,10.16761695,10.0889641,9.996611955,9.881348919
sub125,25.425,24.442,23.685,23.048,22.501,22.093,21.568,21.129,21.279,21.913,23.363,25.621,25.876,24.069,22.059,20.309,20.521,21.920,22.488,22.757,22.859,22.982,22.731,21.539,20.057,19.987,21.179,23.148,23.716,24.569,24.979,24.848,24.658,24.872,24.156,26.011,32.183,38.310,42.143,41.842,40.827,39.220,36.516,34.144,31.352,31.257,29.019,26.888
sub126,31.146,30.451,29.927,29.383,28.956,28.665,28.590,28.359,28.229,28.273,29.109,31.508,33.297,33.808,33.361,32.331,31.541,31.709,32.279,32.566,33.380,33.991,34.629,35.049,34.912,34.711,34.962,35.535,35.927,35.806,35.711,35.223,34.900,34.618,34.655,35.404,38.418,42.837,44.630,44.153,43.011,41.005,38.869,36.814,35.108,33.860,32.892,31.876
sub127,22.647,21.928,21.526,21.211,20.868,20.471,20.136,19.947,19.805,19.724,19.902,20.944,21.948,22.034,21.618,21.186,20.865,21.283,21.671,21.946,22.024,22.156,22.299,22.358,22.068,21.879,21.911,22.520,22.919,23.077,22.873,22.847,22.610,22.262,22.030,22.367,25.183,28.685,31.292,31.760,31.304,30.429,29.193,27.626,26.084,25.425,24.457,23.567
sub128,8.266,8.057,7.898,7.775,7.693,7.615,7.541,7.562,7.614,7.920,8.323,9.069,9.817,9.798,8.939,8.322,8.005,7.909,7.727,7.756,7.813,7.913,7.923,8.050,8.099,8.143,8.165,8.324,8.432,8.511,8.538,8.544,8.751,8.910,9.058,9.257,9.643,10.190,10.573,10.611,10.465,10.249,9.913,9.554,8.948,9.167,8.785,8.510
sub129, 42.17 , 41.25 , 40.52 , 39.96 , 39.29 , 38.76 , 38.10 , 37.67 , 37.28 , 37.32 , 37.87 , 38.71 , 39.35 , 39.21 , 37.88 , 37.13 , 38.43 , 42.49 , 43.54 , 44.21 , 44.70 , 45.32 , 45.68 , 45.93 , 44.11 , 42.97 , 44.34 , 48.02 , 48.83 , 49.01 , 48.73 , 48.47 , 47.68 , 46.65 , 43.94 , 42.54 , 43.15 , 45.30 , 47.24 , 47.62 , 46.96 , 46.90 , 46.71 , 46.31 , 45.53 , 45.20 , 44.12 , 43.16 
sub130,59.8436459,58.16875983,56.66944769,55.60421367,54.44248731,53.52942958,52.88452834,52.38108202,52.04597041,52.23281552,53.07806286,55.42695976,57.37412592,57.26663729,54.49691889,53.11349532,53.99472492,56.7540274,58.81100363,60.39975218,62.19101553,63.2406104,63.48313945,63.54945345,62.6478804,62.23197667,62.97932658,64.82105266,65.14651785,65.50117052,65.56467403,65.46301954,65.23390278,64.31381671,62.14724423,61.92194269,64.00683725,69.5149652,73.98709091,74.6664777,74.02548625,73.0208845,71.69424449,70.08466964,68.13920847,66.73128763,64.32417154,61.86662529
sub131,32.86120149,31.85288248,30.99767177,30.2163408,29.56538528,28.9230671,28.33089313,27.93643359,27.82726672,27.99369616,28.69829521,30.21254249,31.47514372,31.80955217,31.13301794,30.77008649,31.25254723,32.26774943,32.10595095,32.19919931,32.62980108,32.85430588,33.28154411,33.23575491,32.70083145,32.09777988,32.64333933,34.19689455,34.78876968,34.94294514,34.66979463,34.09748362,33.51798574,32.39930689,30.76520789,29.69370539,30.16858772,32.25752157,34.45768676,35.21429162,35.2959875,35.49422114,35.38471875,34.87189201,34.33780545,35.41816759,34.83485766,33.7677251
sub132, 43.64 , 42.45 , 41.25 , 40.44 , 39.67 , 39.31 , 38.12 , 37.21 , 37.07 , 37.54 , 37.96 , 39.33 , 39.94 , 39.73 , 39.05 , 38.33 , 39.68 , 43.92 , 44.82 , 45.96 , 46.71 , 47.41 , 47.96 , 47.81 , 44.27 , 43.33 , 46.39 , 51.25 , 52.16 , 52.63 , 52.70 , 52.42 , 51.59 , 50.03 , 44.86 , 43.74 , 44.64 , 47.21 , 49.47 , 50.33 , 49.93 , 49.99 , 49.45 , 48.39 , 47.59 , 48.22 , 47.28 , 45.52 
sub133, 52.51 , 50.95 , 49.61 , 48.83 , 47.92 , 47.06 , 46.18 , 45.55 , 45.00 , 44.75 , 44.66 , 45.53 , 46.00 , 44.96 , 44.02 , 44.49 , 46.67 , 50.88 , 52.19 , 53.26 , 53.60 , 54.23 , 54.69 , 54.79 , 53.04 , 52.07 , 53.00 , 56.36 , 56.86 , 57.29 , 57.17 , 57.21 , 56.72 , 55.50 , 52.60 , 51.73 , 54.26 , 57.57 , 60.10 , 60.96 , 60.35 , 60.46 , 60.43 , 60.10 , 58.81 , 57.67 , 55.85 , 54.51 
sub134,47.589,46.361,44.960,43.657,42.467,41.403,40.413,39.507,38.890,38.580,38.664,39.564,39.836,39.634,38.790,38.759,40.391,43.300,44.958,46.203,47.705,48.674,49.317,49.724,49.425,49.340,50.493,53.062,53.741,54.419,54.592,54.551,54.015,52.782,50.652,49.460,50.408,52.847,54.807,55.824,55.877,55.816,55.099,53.895,52.623,52.887,51.169,49.263
sub135, 11.40 , 11.32 , 11.34 , 11.54 , 11.13 , 10.91 , 10.52 , 10.33 , 9.80 , 9.87 , 9.44 , 9.59 , 10.42 , 11.16 , 10.81 , 11.20 , 11.82 , 13.85 , 14.93 , 15.47 , 15.64 , 15.93 , 15.73 , 15.50 , 14.31 , 14.32 , 15.08 , 16.56 , 16.74 , 16.97 , 16.87 , 16.88 , 16.39 , 16.28 , 14.84 , 14.55 , 15.03 , 15.58 , 15.47 , 15.19 , 14.00 , 14.10 , 13.86 , 13.58 , 13.19 , 13.12 , 12.62 , 12.11 
sub136,9.500,9.296,8.925,8.671,8.444,8.318,8.127,8.001,7.899,7.929,8.097,9.071,9.948,8.823,7.557,6.370,5.623,6.282,6.463,6.416,6.525,6.565,6.696,6.879,6.695,6.587,6.789,7.400,7.836,7.914,7.982,8.076,8.080,7.906,7.650,7.806,9.437,11.095,12.272,12.301,12.203,12.019,11.297,10.733,10.315,10.575,10.338,9.963
