,Unnamed: 0,level_0,id,name,new_date,hour,demand_kWh,supply_kWh,Wind,Condition,temperature(°F),dew_point(°F),humidity(%),wind_speed(°mph),wind_gust(°mph),pressure(°in),precip(°in),temperature(°C),dew_point(°C)
1312,1312,1312,12300,NDIR-SERT,2022-02-21,7,6.01,0.0,E,Fair,70.0,66.0,88.0,3.0,0.0,29.7,0.0,21.11,18.89
1313,1313,1313,12308,NDIR-SERT,2022-02-21,8,4.98,0.0,VAR,Fair,73.0,66.0,78.0,2.0,0.0,29.73,0.0,22.78,18.89
1314,1314,1314,12317,NDIR-SERT,2022-02-21,9,3.48,0.29,E,Fair,75.0,66.0,73.0,5.0,0.0,29.75,0.0,23.89,18.89
1315,1315,1315,12326,NDIR-SERT,2022-02-21,10,16.05,0.0,VAR,Mostly Cloudy,77.0,68.0,74.0,2.0,0.0,29.75,0.0,25.0,20.0
1316,1316,1316,12337,NDIR-SERT,2022-02-21,11,23.53,0.0,SSE,Mostly Cloudy,79.0,70.0,74.0,5.0,0.0,29.75,0.0,26.11,21.11
1317,1317,1317,12344,NDIR-SERT,2022-02-21,12,14.5,0.01,SSW,Mostly Cloudy,81.0,70.0,70.0,6.0,0.0,29.75,0.0,27.22,21.11
1318,1318,1318,12356,NDIR-SERT,2022-02-21,13,13.97,0.01,S,Mostly Cloudy,84.0,70.0,62.0,7.0,0.0,29.7,0.0,28.89,21.11
1319,1319,1319,12362,NDIR-SERT,2022-02-21,14,13.59,0.0,SSW,Partly Cloudy,84.0,72.0,66.0,8.0,0.0,29.67,0.0,28.89,22.22
1320,1320,1320,12373,NDIR-SERT,2022-02-21,15,16.22,0.0,SSW,Partly Cloudy,86.0,70.0,58.0,9.0,0.0,29.67,0.0,30.0,21.11
1321,1321,1321,12379,NDIR-SERT,2022-02-21,16,22.12,0.0,S,Fair,84.0,68.0,58.0,7.0,0.0,29.64,0.0,28.89,20.0
1322,1322,1322,12392,NDIR-SERT,2022-02-21,17,27.55,0.0,S,Fair,84.0,68.0,58.0,6.0,0.0,29.64,0.0,28.89,20.0
1323,1323,1323,12400,NDIR-SERT,2022-02-21,18,12.89,0.0,S,Fair,81.0,68.0,65.0,5.0,0.0,29.64,0.0,27.22,20.0
1324,1324,1324,12408,NDIR-SERT,2022-02-21,19,10.12,0.0,SSW,Fair,79.0,72.0,78.0,3.0,0.0,29.67,0.0,26.11,22.22
1325,1325,1325,12415,NDIR-SERT,2022-02-21,20,9.04,0.0,SSW,Fair,77.0,72.0,83.0,3.0,0.0,29.7,0.0,25.0,22.22
1334,1334,1334,12505,NDIR-SERT,2022-02-22,6,5.6,0.0,VAR,Partly Cloudy,70.0,66.0,88.0,2.0,0.0,29.78,0.0,21.11,18.89
1335,1335,1335,12514,NDIR-SERT,2022-02-22,7,4.62,0.0,WNW,Partly Cloudy,70.0,68.0,94.0,3.0,0.0,29.81,0.0,21.11,20.0
1336,1336,1336,12526,NDIR-SERT,2022-02-22,8,4.92,0.0,NW,Partly Cloudy,72.0,66.0,83.0,3.0,0.0,29.84,0.0,22.22,18.89
1337,1337,1337,12532,NDIR-SERT,2022-02-22,9,6.58,0.0,VAR,Fair,75.0,63.0,65.0,2.0,0.0,29.84,0.0,23.89,17.22
1338,1338,1338,12543,NDIR-SERT,2022-02-22,10,19.87,0.0,VAR,Fair,77.0,63.0,61.0,3.0,0.0,29.84,0.0,25.0,17.22
1339,1339,1339,12553,NDIR-SERT,2022-02-22,11,18.29,0.0,SSE,Fair,79.0,63.0,57.0,5.0,0.0,29.81,0.0,26.11,17.22
1340,1340,1340,12559,NDIR-SERT,2022-02-22,12,19.04,0.0,S,Fair,81.0,63.0,54.0,5.0,0.0,29.81,0.0,27.22,17.22
1341,1341,1341,12569,NDIR-SERT,2022-02-22,13,19.23,0.0,SSW,Fair,82.0,64.0,54.0,6.0,0.0,29.75,0.0,27.78,17.78
1342,1342,1342,12579,NDIR-SERT,2022-02-22,14,16.5,0.0,W,Fair,82.0,64.0,54.0,3.0,0.0,29.75,0.0,27.78,17.78
1343,1343,1343,12587,NDIR-SERT,2022-02-22,15,15.2,0.0,SW,Fair,82.0,64.0,54.0,6.0,0.0,29.73,0.0,27.78,17.78
1344,1344,1344,12599,NDIR-SERT,2022-02-22,16,20.31,0.0,WSW,Fair,84.0,64.0,51.0,5.0,0.0,29.73,0.0,28.89,17.78
1345,1345,1345,12604,NDIR-SERT,2022-02-22,17,20.84,0.0,S,Fair,84.0,64.0,51.0,3.0,0.0,29.73,0.0,28.89,17.78
1346,1346,1346,12614,NDIR-SERT,2022-02-22,18,13.46,0.0,S,Fair,82.0,64.0,54.0,3.0,0.0,29.73,0.0,27.78,17.78
1347,1347,1347,12624,NDIR-SERT,2022-02-22,19,10.33,0.0,N,Fair,79.0,68.0,69.0,1.0,0.0,29.73,0.0,26.11,20.0
1348,1348,1348,12633,NDIR-SERT,2022-02-22,20,9.17,0.0,SW,Fair,79.0,68.0,69.0,3.0,0.0,29.75,0.0,26.11,20.0
1356,1356,1356,12713,NDIR-SERT,2022-02-23,6,5.0,0.0,VAR,Fair,68.0,64.0,88.0,2.0,0.0,29.81,0.0,20.0,17.78
1357,1357,1357,12721,NDIR-SERT,2022-02-23,7,4.4,0.0,VAR,Fair,68.0,64.0,88.0,1.0,0.0,29.84,0.0,20.0,17.78
1358,1358,1358,12730,NDIR-SERT,2022-02-23,8,3.98,0.0,NE,Fair,73.0,64.0,73.0,3.0,0.0,29.84,0.0,22.78,17.78
1359,1359,1359,12741,NDIR-SERT,2022-02-23,9,2.62,0.27,VAR,Fair,77.0,64.0,65.0,3.0,0.0,29.87,0.0,25.0,17.78
1360,1360,1360,12749,NDIR-SERT,2022-02-23,10,14.35,0.0,VAR,Fair,81.0,63.0,54.0,5.0,0.0,29.9,0.0,27.22,17.22
1361,1361,1361,12759,NDIR-SERT,2022-02-23,11,7.38,0.02,SE,Fair,82.0,63.0,51.0,5.0,0.0,29.87,0.0,27.78,17.22
1362,1362,1362,12770,NDIR-SERT,2022-02-23,12,7.94,0.03,VAR,Fair,84.0,63.0,48.0,1.0,0.0,29.84,0.0,28.89,17.22
1363,1363,1363,12776,NDIR-SERT,2022-02-23,13,7.42,0.01,WNW,Fair,84.0,64.0,51.0,3.0,0.0,29.81,0.0,28.89,17.78
1364,1364,1364,12785,NDIR-SERT,2022-02-23,14,15.29,0.0,VAR,Fair,86.0,63.0,45.0,5.0,0.0,29.78,0.0,30.0,17.22
1365,1365,1365,12795,NDIR-SERT,2022-02-23,15,16.58,0.0,SW,Fair,86.0,63.0,45.0,6.0,0.0,29.75,0.0,30.0,17.22
1366,1366,1366,12805,NDIR-SERT,2022-02-23,16,21.93,0.0,WSW,Fair,86.0,64.0,48.0,5.0,0.0,29.73,0.0,30.0,17.78
1367,1367,1367,12811,NDIR-SERT,2022-02-23,17,26.42,0.0,SW,Fair,86.0,64.0,48.0,5.0,0.0,29.73,0.0,30.0,17.78
1368,1368,1368,12822,NDIR-SERT,2022-02-23,18,18.54,0.0,SW,Fair,84.0,64.0,51.0,3.0,0.0,29.73,0.0,28.89,17.78
1369,1369,1369,12830,NDIR-SERT,2022-02-23,19,15.23,0.0,CALM,Fair,77.0,68.0,74.0,0.0,0.0,29.75,0.0,25.0,20.0
1370,1370,1370,12839,NDIR-SERT,2022-02-23,20,10.41,0.0,CALM,Fair,75.0,70.0,83.0,0.0,0.0,29.78,0.0,23.89,21.11
1371,1371,1371,12848,NDIR-SERT,2022-02-23,21,7.5,0.0,CALM,Fair,73.0,68.0,83.0,0.0,0.0,29.81,0.0,22.78,20.0
1372,1372,1372,12858,NDIR-SERT,2022-02-23,22,6.72,0.0,CALM,Fair,72.0,70.0,94.0,0.0,0.0,29.81,0.0,22.22,21.11
1373,1373,1373,12866,NDIR-SERT,2022-02-23,23,6.79,0.0,E,Fair,73.0,72.0,94.0,2.0,0.0,29.84,0.0,22.78,22.22
1379,1379,1379,12929,NDIR-SERT,2022-02-24,6,5.16,0.0,VAR,Fair,68.0,63.0,83.0,2.0,0.0,29.84,0.0,20.0,17.22
1380,1380,1380,12939,NDIR-SERT,2022-02-24,7,4.62,0.0,VAR,Fair,66.0,63.0,88.0,2.0,0.0,29.87,0.0,18.89,17.22
1381,1381,1381,12949,NDIR-SERT,2022-02-24,8,4.47,0.0,VAR,Fair,72.0,63.0,73.0,1.0,0.0,29.87,0.0,22.22,17.22
1382,1382,1382,12955,NDIR-SERT,2022-02-24,9,3.16,0.09,NE,Fair,77.0,61.0,57.0,5.0,0.0,29.9,0.0,25.0,16.11
1383,1383,1383,12967,NDIR-SERT,2022-02-24,10,14.11,0.0,NE,Fair,81.0,59.0,48.0,5.0,0.0,29.93,0.0,27.22,15.0
1384,1384,1384,12974,NDIR-SERT,2022-02-24,11,9.52,0.0,NNW,Fair,82.0,61.0,48.0,5.0,0.0,29.9,0.0,27.78,16.11
1385,1385,1385,12982,NDIR-SERT,2022-02-24,12,8.27,0.0,VAR,Fair,82.0,59.0,45.0,2.0,0.0,29.9,0.0,27.78,15.0
1386,1386,1386,12993,NDIR-SERT,2022-02-24,13,9.73,0.0,NW,Fair,84.0,61.0,45.0,5.0,0.0,29.84,0.0,28.89,16.11
1387,1387,1387,13002,NDIR-SERT,2022-02-24,14,10.0,0.01,NW,Fair,84.0,61.0,45.0,5.0,0.0,29.81,0.0,28.89,16.11
1388,1388,1388,13011,NDIR-SERT,2022-02-24,15,15.48,0.0,W,Fair,86.0,64.0,48.0,7.0,0.0,29.78,0.0,30.0,17.78
1389,1389,1389,13018,NDIR-SERT,2022-02-24,16,22.25,0.0,WSW,Fair,86.0,64.0,48.0,7.0,0.0,29.78,0.0,30.0,17.78
1390,1390,1390,13027,NDIR-SERT,2022-02-24,17,25.38,0.0,W,Fair,86.0,64.0,48.0,6.0,0.0,29.75,0.0,30.0,17.78
1391,1391,1391,13038,NDIR-SERT,2022-02-24,18,17.23,0.0,W,Fair,82.0,64.0,54.0,5.0,0.0,29.78,0.0,27.78,17.78
1392,1392,1392,13046,NDIR-SERT,2022-02-24,19,10.2,0.0,WSW,Fair,81.0,66.0,61.0,3.0,0.0,29.78,0.0,27.22,18.89
1393,1393,1393,13054,NDIR-SERT,2022-02-24,20,9.84,0.0,NW,Fair,77.0,70.0,78.0,2.0,0.0,29.81,0.0,25.0,21.11
1402,1402,1402,13149,NDIR-SERT,2022-02-25,6,5.4,0.0,VAR,Fair,66.0,63.0,88.0,1.0,0.0,29.84,0.0,18.89,17.22
1403,1403,1403,13156,NDIR-SERT,2022-02-25,7,4.7,0.0,VAR,Fair,66.0,63.0,88.0,1.0,0.0,29.87,0.0,18.89,17.22
1404,1404,1404,13165,NDIR-SERT,2022-02-25,8,6.36,0.0,NE,Fair,73.0,59.0,61.0,3.0,0.0,29.9,0.0,22.78,15.0
1405,1405,1405,13175,NDIR-SERT,2022-02-25,9,12.86,0.0,ENE,Fair,77.0,59.0,54.0,3.0,0.0,29.93,0.0,25.0,15.0
1406,1406,1406,13183,NDIR-SERT,2022-02-25,10,27.18,0.0,NE,Fair,81.0,57.0,45.0,5.0,0.0,29.93,0.0,27.22,13.89
1407,1407,1407,13190,NDIR-SERT,2022-02-25,11,27.4,0.0,NW,Fair,82.0,57.0,42.0,3.0,0.0,29.93,0.0,27.78,13.89
1408,1408,1408,13199,NDIR-SERT,2022-02-25,12,21.28,0.0,SSE,Fair,84.0,57.0,40.0,3.0,0.0,29.87,0.0,28.89,13.89
1409,1409,1409,13208,NDIR-SERT,2022-02-25,13,20.68,0.0,W,Fair,86.0,57.0,37.0,3.0,0.0,29.84,0.0,30.0,13.89
1410,1410,1410,13217,NDIR-SERT,2022-02-25,14,22.29,0.0,N,Fair,88.0,57.0,35.0,5.0,0.0,29.78,0.0,31.11,13.89
1411,1411,1411,13226,NDIR-SERT,2022-02-25,15,21.69,0.0,VAR,Fair,90.0,57.0,33.0,2.0,0.0,29.75,0.0,32.22,13.89
1412,1412,1412,13237,NDIR-SERT,2022-02-25,16,23.41,0.0,W,Fair,88.0,61.0,40.0,9.0,0.0,29.75,0.0,31.11,16.11
1413,1413,1413,13244,NDIR-SERT,2022-02-25,17,21.88,0.0,W,Fair,86.0,61.0,43.0,8.0,0.0,29.75,0.0,30.0,16.11
1414,1414,1414,13256,NDIR-SERT,2022-02-25,18,16.92,0.0,W,Fair,82.0,64.0,54.0,6.0,0.0,29.75,0.0,27.78,17.78
1415,1415,1415,13261,NDIR-SERT,2022-02-25,19,13.39,0.0,W,Fair,79.0,66.0,65.0,2.0,0.0,29.75,0.0,26.11,18.89
1416,1416,1416,13270,NDIR-SERT,2022-02-25,20,10.03,0.0,NW,Fair,77.0,68.0,74.0,1.0,0.0,29.78,0.0,25.0,20.0
1417,1417,1417,13283,NDIR-SERT,2022-02-25,21,8.38,0.0,N,Fair,75.0,70.0,83.0,2.0,0.0,29.81,0.0,23.89,21.11
1418,1418,1418,13290,NDIR-SERT,2022-02-25,22,8.01,0.0,VAR,Fair,75.0,70.0,83.0,2.0,0.0,29.81,0.0,23.89,21.11
1419,1419,1419,13297,NDIR-SERT,2022-02-25,23,7.04,0.0,E,Fair,72.0,70.0,94.0,2.0,0.0,29.84,0.0,22.22,21.11
1420,1420,1420,13317,NDIR-SERT,2022-02-26,1,6.85,0.0,VAR,Fair,70.0,63.0,78.0,1.0,0.0,29.81,0.0,21.11,17.22
1421,1421,1421,13327,NDIR-SERT,2022-02-26,2,6.78,0.0,E,Fair,68.0,63.0,83.0,1.0,0.0,29.78,0.0,20.0,17.22
1422,1422,1422,13334,NDIR-SERT,2022-02-26,3,6.86,0.0,VAR,Fair,66.0,63.0,88.0,1.0,0.0,29.78,0.0,18.89,17.22
1425,1425,1425,13361,NDIR-SERT,2022-02-26,6,6.82,0.0,VAR,Fair,64.0,63.0,94.0,1.0,0.0,29.81,0.0,17.78,17.22
1426,1426,1426,13369,NDIR-SERT,2022-02-26,7,5.82,0.0,E,Fair,64.0,64.0,100.0,2.0,0.0,29.84,0.0,17.78,17.78
1428,1428,1428,13388,NDIR-SERT,2022-02-26,9,1.04,1.07,VAR,Fair,75.0,64.0,69.0,1.0,0.0,29.9,0.0,23.89,17.78
1429,1429,1429,13397,NDIR-SERT,2022-02-26,10,0.07,4.94,W,Fair,81.0,59.0,48.0,5.0,0.0,29.93,0.0,27.22,15.0
1430,1430,1430,13408,NDIR-SERT,2022-02-26,11,0.0,10.15,VAR,Fair,84.0,57.0,40.0,3.0,0.0,29.9,0.0,28.89,13.89
1431,1431,1431,13414,NDIR-SERT,2022-02-26,12,0.0,11.66,NNE,Fair,86.0,57.0,37.0,3.0,0.0,29.87,0.0,30.0,13.89
1432,1432,1432,13425,NDIR-SERT,2022-02-26,13,0.0,12.58,NW,Fair,88.0,55.0,33.0,3.0,0.0,29.81,0.0,31.11,12.78
1433,1433,1433,13432,NDIR-SERT,2022-02-26,14,0.0,11.52,VAR,Fair,90.0,55.0,31.0,2.0,0.0,29.78,0.0,32.22,12.78
1434,1434,1434,13441,NDIR-SERT,2022-02-26,15,0.0,9.68,W,Fair,88.0,61.0,40.0,8.0,0.0,29.75,0.0,31.11,16.11
1435,1435,1435,13450,NDIR-SERT,2022-02-26,16,1.06,2.52,WNW,Fair,88.0,59.0,38.0,7.0,0.0,29.73,0.0,31.11,15.0
1436,1436,1436,13460,NDIR-SERT,2022-02-26,17,2.36,0.31,W,Fair,86.0,63.0,45.0,7.0,0.0,29.73,0.0,30.0,17.22
1437,1437,1437,13470,NDIR-SERT,2022-02-26,18,6.78,0.0,W,Fair,84.0,63.0,48.0,5.0,0.0,29.73,0.0,28.89,17.22
1438,1438,1438,13477,NDIR-SERT,2022-02-26,19,9.84,0.0,VAR,Fair,79.0,66.0,65.0,1.0,0.0,29.75,0.0,26.11,18.89
1439,1439,1439,13487,NDIR-SERT,2022-02-26,20,10.18,0.0,CALM,Fair,73.0,66.0,78.0,0.0,0.0,29.78,0.0,22.78,18.89
1449,1449,1449,13598,NDIR-SERT,2022-02-28,6,5.87,0.0,CALM,Fair,72.0,66.0,83.0,0.0,0.0,29.75,0.0,22.22,18.89
1450,1450,1450,13606,NDIR-SERT,2022-02-28,7,5.6,0.0,CALM,Fair,72.0,68.0,88.0,0.0,0.0,29.75,0.0,22.22,20.0
1451,1451,1451,13616,NDIR-SERT,2022-02-28,8,4.1,0.01,CALM,Fair,75.0,70.0,83.0,0.0,0.0,29.78,0.0,23.89,21.11
1452,1452,1452,13622,NDIR-SERT,2022-02-28,9,10.21,0.0,VAR,Fair,79.0,68.0,69.0,2.0,0.0,29.81,0.0,26.11,20.0
1453,1453,1453,13632,NDIR-SERT,2022-02-28,10,16.72,0.0,VAR,Fair,86.0,64.0,48.0,2.0,0.0,29.81,0.0,30.0,17.78
1454,1454,1454,13640,NDIR-SERT,2022-02-28,11,13.56,0.03,VAR,Fair,88.0,61.0,40.0,2.0,0.0,29.81,0.0,31.11,16.11
1455,1455,1455,13648,NDIR-SERT,2022-02-28,12,12.78,0.0,WSW,Fair,90.0,61.0,38.0,3.0,0.0,29.78,0.0,32.22,16.11
1456,1456,1456,13658,NDIR-SERT,2022-02-28,13,18.72,0.0,WNW,Fair,91.0,59.0,34.0,5.0,0.0,29.73,0.0,32.78,15.0
1457,1457,1457,13666,NDIR-SERT,2022-02-28,15,32.29,0.0,W,Fair,91.0,59.0,34.0,6.0,0.0,29.67,0.0,32.78,15.0
1458,1458,1458,13677,NDIR-SERT,2022-02-28,16,40.99,0.0,WSW,Fair,93.0,57.0,30.0,5.0,0.0,29.64,0.0,33.89,13.89
1459,1459,1459,13685,NDIR-SERT,2022-02-28,17,36.96,0.0,VAR,Fair,93.0,54.0,26.0,1.0,0.0,29.64,0.0,33.89,12.22
1460,1460,1460,13696,NDIR-SERT,2022-02-28,18,23.92,0.0,CALM,Fair,90.0,57.0,33.0,0.0,0.0,29.64,0.0,32.22,13.89
1467,1467,1467,13769,NDIR-SERT,2022-03-01,6,6.52,0.0,CALM,Fair,72.0,68.0,88.0,0.0,0.0,29.7,0.0,22.22,20.0
1468,1468,1468,13778,NDIR-SERT,2022-03-01,7,6.26,0.0,CALM,Fair,72.0,68.0,88.0,0.0,0.0,29.73,0.0,22.22,20.0
1469,1469,1469,13786,NDIR-SERT,2022-03-01,8,4.91,0.01,E,Fair,75.0,70.0,83.0,2.0,0.0,29.75,0.0,23.89,21.11
1470,1470,1470,13795,NDIR-SERT,2022-03-01,9,10.27,0.06,VAR,Fair,81.0,66.0,61.0,2.0,0.0,29.78,0.0,27.22,18.89
1471,1471,1471,13803,NDIR-SERT,2022-03-01,10,25.14,0.0,VAR,Fair,84.0,64.0,51.0,2.0,0.0,29.78,0.0,28.89,17.78
1472,1472,1472,13812,NDIR-SERT,2022-03-01,12,4.1,0.0,VAR,Fair,91.0,64.0,41.0,3.0,0.0,29.75,0.0,32.78,17.78
1473,1473,1473,13821,NDIR-SERT,2022-03-01,13,28.37,0.0,W,Fair,93.0,64.0,38.0,3.0,0.0,29.7,0.0,33.89,17.78
1474,1474,1474,13832,NDIR-SERT,2022-03-01,14,33.11,0.0,W,Fair,95.0,63.0,34.0,3.0,0.0,29.67,0.0,35.0,17.22
1475,1475,1475,13841,NDIR-SERT,2022-03-01,15,30.98,0.0,W,Fair,95.0,59.0,30.0,6.0,0.0,29.64,0.0,35.0,15.0
1476,1476,1476,13851,NDIR-SERT,2022-03-01,16,36.05,0.0,WSW,Fair,95.0,59.0,30.0,5.0,0.0,29.61,0.0,35.0,15.0
1477,1477,1477,13856,NDIR-SERT,2022-03-01,17,36.83,0.0,SW,Fair,95.0,55.0,26.0,3.0,0.0,29.61,0.0,35.0,12.78
1478,1478,1478,13866,NDIR-SERT,2022-03-01,18,23.03,0.0,NW,Fair,93.0,64.0,38.0,2.0,0.0,29.64,0.0,33.89,17.78
1479,1479,1479,13876,NDIR-SERT,2022-03-01,19,12.47,0.0,NW,Fair,86.0,68.0,55.0,2.0,0.0,29.64,0.0,30.0,20.0
1480,1480,1480,13885,NDIR-SERT,2022-03-01,20,10.85,0.0,CALM,Fair,84.0,70.0,62.0,0.0,0.0,29.67,0.0,28.89,21.11
1489,1489,1489,13976,NDIR-SERT,2022-03-02,6,7.28,0.0,ENE,Fair,73.0,70.0,88.0,2.0,0.0,29.7,0.0,22.78,21.11
1490,1490,1490,13985,NDIR-SERT,2022-03-02,7,6.75,0.0,NNW,Fair,73.0,70.0,88.0,1.0,0.0,29.73,0.0,22.78,21.11
1491,1491,1491,13992,NDIR-SERT,2022-03-02,8,5.38,0.0,VAR,Fair,77.0,72.0,83.0,2.0,0.0,29.75,0.0,25.0,22.22
1492,1492,1492,14002,NDIR-SERT,2022-03-02,9,20.45,0.0,SE,Fair,82.0,70.0,66.0,6.0,0.0,29.78,0.0,27.78,21.11
1493,1493,1493,14009,NDIR-SERT,2022-03-02,10,28.62,0.0,SSE,Fair,84.0,72.0,66.0,6.0,0.0,29.78,0.0,28.89,22.22
1494,1494,1494,14020,NDIR-SERT,2022-03-02,12,22.59,0.0,S,Haze,90.0,73.0,59.0,8.0,0.0,29.73,0.0,32.22,22.78
1495,1495,1495,14030,NDIR-SERT,2022-03-02,13,25.94,0.0,S,Fair,91.0,73.0,55.0,8.0,0.0,29.7,0.0,32.78,22.78
1496,1496,1496,14037,NDIR-SERT,2022-03-02,14,34.92,0.0,SSE,Fair,93.0,70.0,46.0,7.0,0.0,29.67,0.0,33.89,21.11
1497,1497,1497,14046,NDIR-SERT,2022-03-02,15,31.27,0.0,SW,Fair,93.0,72.0,49.0,6.0,0.0,29.64,0.0,33.89,22.22
1498,1498,1498,14055,NDIR-SERT,2022-03-02,16,30.81,0.0,S,Fair,93.0,70.0,46.0,5.0,0.0,29.61,0.0,33.89,21.11
1499,1499,1499,14064,NDIR-SERT,2022-03-02,17,34.09,0.0,VAR,Fair,95.0,66.0,39.0,2.0,0.0,29.61,0.0,35.0,18.89
1500,1500,1500,14074,NDIR-SERT,2022-03-02,18,24.04,0.0,E,Fair,91.0,68.0,46.0,2.0,0.0,29.61,0.0,32.78,20.0
1501,1501,1501,14080,NDIR-SERT,2022-03-02,19,13.87,0.0,NNW,Fair,86.0,72.0,62.0,1.0,0.0,29.61,0.0,30.0,22.22
1502,1502,1502,14089,NDIR-SERT,2022-03-02,20,10.6,0.0,CALM,Fair,84.0,72.0,66.0,0.0,0.0,29.64,0.0,28.89,22.22
1511,1511,1511,14180,NDIR-SERT,2022-03-03,6,7.34,0.0,E,Fair,75.0,72.0,89.0,2.0,0.0,29.7,0.0,23.89,22.22
1512,1512,1512,14188,NDIR-SERT,2022-03-03,7,7.17,0.0,E,Fair,75.0,72.0,89.0,3.0,0.0,29.73,0.0,23.89,22.22
1513,1513,1513,14200,NDIR-SERT,2022-03-03,8,5.47,0.0,ESE,Fair,79.0,73.0,83.0,3.0,0.0,29.75,0.0,26.11,22.78
1514,1514,1514,14207,NDIR-SERT,2022-03-03,9,17.13,0.02,SE,Fair,82.0,73.0,74.0,6.0,0.0,29.75,0.0,27.78,22.78
1515,1515,1515,14215,NDIR-SERT,2022-03-03,10,30.25,0.0,SE,Fair,84.0,73.0,70.0,10.0,0.0,29.78,0.0,28.89,22.78
1516,1516,1516,14224,NDIR-SERT,2022-03-03,11,20.96,0.0,SSE,Fair,88.0,73.0,62.0,7.0,0.0,29.75,0.0,31.11,22.78
1517,1517,1517,14238,NDIR-SERT,2022-03-03,12,26.81,0.0,SSE,Fair,90.0,72.0,55.0,6.0,0.0,29.73,0.0,32.22,22.22
1518,1518,1518,14246,NDIR-SERT,2022-03-03,13,29.46,0.0,S,Fair,93.0,70.0,46.0,5.0,0.0,29.7,0.0,33.89,21.11
1519,1519,1519,14254,NDIR-SERT,2022-03-03,14,37.87,0.0,S,Fair,93.0,68.0,44.0,6.0,0.0,29.67,0.0,33.89,20.0
1520,1520,1520,14260,NDIR-SERT,2022-03-03,15,45.05,0.0,S,Fair,95.0,70.0,44.0,5.0,0.0,29.64,0.0,35.0,21.11
1521,1521,1521,14269,NDIR-SERT,2022-03-03,16,36.46,0.0,WSW,Fair,95.0,68.0,41.0,5.0,0.0,29.61,0.0,35.0,20.0
1522,1522,1522,14278,NDIR-SERT,2022-03-03,17,39.66,0.0,VAR,Fair,95.0,66.0,39.0,1.0,0.0,29.58,0.0,35.0,18.89
1523,1523,1523,14292,NDIR-SERT,2022-03-03,18,32.55,0.0,VAR,Fair,93.0,68.0,44.0,1.0,0.0,29.61,0.0,33.89,20.0
1524,1524,1524,14299,NDIR-SERT,2022-03-03,19,22.85,0.0,ENE,Fair,86.0,72.0,62.0,1.0,0.0,29.61,0.0,30.0,22.22
1525,1525,1525,14309,NDIR-SERT,2022-03-03,20,12.4,0.0,E,Fair,84.0,73.0,70.0,2.0,0.0,29.64,0.0,28.89,22.78
1534,1534,1534,14400,NDIR-SERT,2022-03-04,6,6.73,0.0,SE,Fair,75.0,73.0,94.0,3.0,0.0,29.67,0.0,23.89,22.78
1535,1535,1535,14408,NDIR-SERT,2022-03-04,7,6.26,0.0,SE,Fair,77.0,73.0,89.0,5.0,0.0,29.7,0.0,25.0,22.78
1536,1536,1536,14416,NDIR-SERT,2022-03-04,8,5.25,0.0,SE,Fair,81.0,75.0,84.0,5.0,0.0,29.73,0.0,27.22,23.89
1537,1537,1537,14423,NDIR-SERT,2022-03-04,9,20.07,0.01,SSE,Fair,84.0,75.0,74.0,9.0,0.0,29.73,0.0,28.89,23.89
1538,1538,1538,14432,NDIR-SERT,2022-03-04,10,32.04,0.0,SE,Fair,88.0,75.0,66.0,7.0,0.0,29.73,0.0,31.11,23.89
1539,1539,1539,14443,NDIR-SERT,2022-03-04,11,25.32,0.0,S,Fair,90.0,75.0,62.0,7.0,0.0,29.73,0.0,32.22,23.89
1540,1540,1540,14451,NDIR-SERT,2022-03-04,12,23.65,0.0,SSE,Fair,91.0,77.0,63.0,6.0,0.0,29.7,0.0,32.78,25.0
1541,1541,1541,14462,NDIR-SERT,2022-03-04,13,26.88,0.0,SSW,Fair,93.0,75.0,56.0,6.0,0.0,29.64,0.0,33.89,23.89
1542,1542,1542,14470,NDIR-SERT,2022-03-04,14,35.77,0.0,WSW,Fair,95.0,72.0,47.0,8.0,0.0,29.61,0.0,35.0,22.22
1543,1543,1543,14479,NDIR-SERT,2022-03-04,15,34.94,0.0,SSW,Fair,95.0,70.0,44.0,5.0,0.0,29.58,0.0,35.0,21.11
1544,1544,1544,14487,NDIR-SERT,2022-03-04,16,39.26,0.0,SSW,Fair,95.0,70.0,44.0,6.0,0.0,29.55,0.0,35.0,21.11
1545,1545,1545,14499,NDIR-SERT,2022-03-04,17,38.36,0.0,SSW,Fair,95.0,70.0,44.0,3.0,0.0,29.55,0.0,35.0,21.11
1546,1546,1546,14507,NDIR-SERT,2022-03-04,18,35.1,0.0,VAR,Fair,93.0,72.0,49.0,1.0,0.0,29.55,0.0,33.89,22.22
1547,1547,1547,14517,NDIR-SERT,2022-03-04,19,26.35,0.0,N,Fair,88.0,75.0,66.0,1.0,0.0,29.55,0.0,31.11,23.89
1548,1548,1548,14524,NDIR-SERT,2022-03-04,20,13.79,0.0,CALM,Fair,86.0,73.0,66.0,0.0,0.0,29.58,0.0,30.0,22.78
1557,1557,1557,14611,NDIR-SERT,2022-03-05,6,7.24,0.0,SSE,Fair,79.0,73.0,83.0,2.0,0.0,29.61,0.0,26.11,22.78
1558,1558,1558,14621,NDIR-SERT,2022-03-05,7,6.03,0.0,SE,Fair,79.0,73.0,83.0,2.0,0.0,29.64,0.0,26.11,22.78
1559,1559,1559,14629,NDIR-SERT,2022-03-05,8,4.43,0.0,SE,Fair,82.0,75.0,79.0,5.0,0.0,29.64,0.0,27.78,23.89
